ActionType,ActionDate,AssistanceType,RecordType,FAIN,AwardModificationAmendmentNumber,URI,CorrectionDeleteIndicator,SAI_Number,AwardeeOrRecipientLegalEntityName,AwardeeOrRecipientUniqueIdentifier,LegalEntityAddressLine1,LegalEntityAddressLine2,LegalEntityZIP5,LegalEntityZIPLast4,LegalEntityCongressionalDistrict,LegalEntityCountryCode,LegalEntityForeignCityName,LegalEntityForeignProvinceName,LegalEntityForeignPostalCode,BusinessTypes,FundingSubTierAgencyCode,FundingOfficeCode,AwardingSubTierAgencyCode,AwardingOfficeCode,CFDA_Number,PrimaryPlaceOfPerformanceCode,PrimaryPlaceOfPerformanceCountryCode,PrimaryPlaceOfPerformanceZIP+4,PrimaryPlaceOfPerformanceForeignLocationDescription,PrimaryPlaceOfPerformanceCongressionalDistrict,AwardDescription,PeriodOfPerformanceStartDate,PeriodOfPerformanceCurrentEndDate,FederalActionObligation,NonFederalFundingAmount,FaceValueLoanGuarantee,OriginalLoanSubsidyCost,BusinessFundsIndicator
,20190228,10,1,  ,,6402820190200335,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**670,USA,,,04,CH33,,,0000210770,,,,NON
,20190228,10,1,  ,,6402820190200336,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**690,USA,,,09,CH33,,,0000057767,,,,NON
,20190228,10,1,  ,,6402820190200337,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**730,USA,,,04,CH33,,,0000396084,,,,NON
,20190228,10,1,  ,,6402820190200338,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**775,USA,,,09,CH33,,,0000096018,,,,NON
,20190228,10,1,  ,,6402820190200343,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**035,USA,,,08,CH33,,,0000010357,,,,NON
,20190228,10,1,  ,,6402820190200344,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MT**035,USA,,,00,CH33,,,0000026244,,,,NON
,20190228,10,1,  ,,6402820190200345,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,ND**035,USA,,,00,CH33,,,0000488720,,,,NON
,20190228,10,1,  ,,6402820190200346,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WV**035,USA,,,02,CH33,,,0000033345,,,,NON
,20190228,10,1,  ,,6402820190200347,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**037,USA,,,06,CH33,,,0000059744,,,,NON
,20190228,10,1,  ,,6402820190200348,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**105,USA,,,01,CH33,,,0000016284,,,,NON
,20190228,10,1,  ,,6402820190200349,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MT**105,USA,,,00,CH33,,,0000041181,,,,NON
,20190228,10,1,  ,,6402820190200350,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**105,USA,,,06,CH33,,,0000801427,,,,NON
,20190228,10,1,  ,,6402820190200351,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**105,USA,,,98,CH33,,,0000019343,,,,NON
,20190228,10,1,  ,,6402820190200352,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AR**107,USA,,,01,CH33,,,0000009855,,,,NON
,20190228,10,1,  ,,6402820190200353,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WI**107,USA,,,07,CH33,,,0000005635,,,,NON
,20190228,10,1,  ,,6402820190200354,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**107,USA,,,98,CH33,,,0000015401,,,,NON
,20190228,10,1,  ,,6402820190200355,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**109,USA,,,05,CH33,,,0000002503,,,,NON
,20190228,10,1,  ,,6402820190200356,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**109,USA,,,07,CH33,,,0000043463,,,,NON
,20190228,10,1,  ,,6402820190200360,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KS**009,USA,,,01,CH33,,,0000013301,,,,NON
,20190228,10,1,  ,,6402820190200361,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IA**039,USA,,,02,CH33,,,0000014270,,,,NON
,20190228,10,1,  ,,6402820190200362,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**039,USA,,,01,CH33,,,0000057515,,,,NON
,20190228,10,1,  ,,6402820190200363,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**039,USA,,,04,CH33,,,0000014678,,,,NON
,20190228,10,1,  ,,6402820190200364,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NE**039,USA,,,01,CH33,,,0000002527,,,,NON
,20190228,10,1,  ,,6402820190200365,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**039,USA,,,11,CH33,,,0000016762,,,,NON
,20190228,10,1,  ,,6402820190200366,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OR**039,USA,,,04,CH33,,,0001238644,,,,NON
,20190228,10,1,  ,,6402820190200367,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,SC**039,USA,,,05,CH33,,,0000015403,,,,NON
,20190228,10,1,  ,,6402820190200368,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TX**039,USA,,,90,CH33,,,0001412138,,,,NON
,20190228,10,1,  ,,6402820190200369,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WA**039,USA,,,03,CH33,,,0000020265,,,,NON
,20190228,10,1,  ,,6402820190200370,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KS**041,USA,,,01,CH33,,,0000159843,,,,NON
,20190228,10,1,  ,,6402820190200371,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MD**041,USA,,,01,CH33,,,0000038165,,,,NON
,20190228,10,1,  ,,6402820190200372,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MI**041,USA,,,01,CH33,,,0000045051,,,,NON
,20190228,10,1,  ,,6402820190200373,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**041,USA,,,06,CH33,,,0000020597,,,,NON
,20190228,10,1,  ,,6402820190200374,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**041,USA,,,98,CH33,,,0000030391,,,,NON
,20190228,10,1,  ,,6402820190200375,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NE**109,USA,,,01,CH33,,,0000727946,,,,NON
,20190228,10,1,  ,,6402820190200376,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IA**111,USA,,,02,CH33,,,0000057989,,,,NON
,20190228,10,1,  ,,6402820190200377,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**111,USA,,,90,CH33,,,0002129646,,,,NON
,20190228,10,1,  ,,6402820190200378,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**111,USA,,,07,CH33,,,0000071279,,,,NON
,20190228,10,1,  ,,6402820190200379,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WI**111,USA,,,02,CH33,,,0000072686,,,,NON
,20190228,10,1,  ,,6402820190200380,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AL**113,USA,,,03,CH33,,,0000958482,,,,NON
,20190228,10,1,  ,,6402820190200381,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**113,USA,,,03,CH33,,,0000067049,,,,NON
,20190228,10,1,  ,,6402820190200382,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TN**113,USA,,,08,CH33,,,0000234870,,,,NON
,20190228,10,1,  ,,6402820190200383,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CA**115,USA,,,03,CH33,,,0000733160,,,,NON
,20190228,10,1,  ,,6402820190200384,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**001,USA,,,03,CH33,,,0000047533,,,,NON
,20190228,10,1,  ,,6402820190200385,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**001,USA,,,01,CH33,,,0000031567,,,,NON
,20190228,10,1,  ,,6402820190200386,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MA**005,USA,,,90,CH33,,,0001624614,,,,NON
,20190228,10,1,  ,,6402820190200387,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MI**005,USA,,,90,CH33,,,0000176135,,,,NON
,20190228,10,1,  ,,6402820190200388,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WY**003,USA,,,00,CH33,,,0000009992,,,,NON
,20190228,10,1,  ,,6402820190200389,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**003,USA,,,90,CH33,,,0000870970,,,,NON
,20190228,10,1,  ,,6402820190200390,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**003,USA,,,01,CH33,,,0000050212,,,,NON
,20190228,10,1,  ,,6402820190200391,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OK**003,USA,,,03,CH33,,,0000002909,,,,NON
,20190228,10,1,  ,,6402820190200392,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WI**005,USA,,,07,CH33,,,0000043196,,,,NON
,20190228,10,1,  ,,6402820190200393,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MT**003,USA,,,00,CH33,,,0000009542,,,,NON
,20190228,10,1,  ,,6402820190200394,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**005,USA,,,03,CH33,,,0000016435,,,,NON
,20190228,10,1,  ,,6402820190200395,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MT**005,USA,,,00,CH33,,,0000004759,,,,NON
,20190228,10,1,  ,,6402820190200396,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NJ**005,USA,,,90,CH33,,,0003126007,,,,NON
,20190228,10,1,  ,,6402820190200397,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NM**005,USA,,,02,CH33,,,0000065257,,,,NON
,20190228,10,1,  ,,6402820190200398,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**001,USA,,,06,CH33,,,0000342394,,,,NON
,20190228,10,1,  ,,6402820190200399,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NY**001,USA,,,20,CH33,,,0000822250,,,,NON
,20190228,10,1,  ,,6402820190200400,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**003,USA,,,03,CH33,,,0000667821,,,,NON
,20190228,10,1,  ,,6402820190200401,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KS**003,USA,,,02,CH33,,,0000007054,,,,NON
,20190228,10,1,  ,,6402820190200402,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**003,USA,,,01,CH33,,,0000037877,,,,NON
,20190228,10,1,  ,,6402820190200403,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WY**001,USA,,,00,CH33,,,0000335004,,,,NON
,20190228,10,1,  ,,6402820190200404,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CA**005,USA,,,04,CH33,,,0000077173,,,,NON
,20190228,10,1,  ,,6402820190200405,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NJ**003,USA,,,90,CH33,,,0001754378,,,,NON
,20190228,10,1,  ,,6402820190200406,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AR**007,USA,,,03,CH33,,,0000613029,,,,NON
,20190228,10,1,  ,,6402820190200407,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CO**007,USA,,,03,CH33,,,0000021185,,,,NON
,20190228,10,1,  ,,6402820190200408,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,RI**007,USA,,,90,CH33,,,0001381441,,,,NON
,20190228,10,1,  ,,6402820190200409,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,SD**007,USA,,,00,CH33,,,0000003244,,,,NON
,20190228,10,1,  ,,6402820190200410,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NY**007,USA,,,90,CH33,,,0000208722,,,,NON
,20190228,10,1,  ,,6402820190200411,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CT**007,USA,,,90,CH33,,,0000593368,,,,NON
,20190228,10,1,  ,,6402820190200412,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**043,USA,,,09,CH33,,,0000161771,,,,NON
,20190228,10,1,  ,,6402820190200413,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IA**043,USA,,,01,CH33,,,0000011170,,,,NON
,20190228,10,1,  ,,6402820190200414,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MD**043,USA,,,06,CH33,,,0000485095,,,,NON
,20190228,10,1,  ,,6402820190200415,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**043,USA,,,07,CH33,,,0000216420,,,,NON
,20190228,10,1,  ,,6402820190200416,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NY**043,USA,,,90,CH33,,,0000048963,,,,NON
,20190228,10,1,  ,,6402820190200417,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,UT**043,USA,,,01,CH33,,,0000105719,,,,NON
,20190228,10,1,  ,,6402820190200418,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WV**043,USA,,,03,CH33,,,0000016977,,,,NON
,20190228,10,1,  ,,6402820190200419,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,FL**045,USA,,,02,CH33,,,0000043688,,,,NON
,20190228,10,1,  ,,6402820190200420,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OK**045,USA,,,03,CH33,,,0000004479,,,,NON
,20190228,10,1,  ,,6402820190200421,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PA**045,USA,,,90,CH33,,,0001052249,,,,NON
,20190228,10,1,  ,,6402820190200422,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,UT**045,USA,,,02,CH33,,,0000150343,,,,NON
,20190228,10,1,  ,,6402820190200423,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**045,USA,,,98,CH33,,,0000018126,,,,NON
,20190228,10,1,  ,,6402820190200424,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**115,USA,,,11,CH33,,,0000039610,,,,NON
,20190228,10,1,  ,,6402820190200425,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TX**115,USA,,,11,CH33,,,0000008881,,,,NON
,20190228,10,1,  ,,6402820190200426,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AL**117,USA,,,06,CH33,,,0000583894,,,,NON
,20190228,10,1,  ,,6402820190200427,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**117,USA,,,04,CH33,,,0000289677,,,,NON
,20190228,10,1,  ,,6402820190200428,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**117,USA,,,06,CH33,,,0000012219,,,,NON
,20190228,10,1,  ,,6402820190200429,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**117,USA,,,01,CH33,,,0000017307,,,,NON
,20190228,10,1,  ,,6402820190200430,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**117,USA,,,12,CH33,,,0000051928,,,,NON
,20190228,10,1,  ,,6402820190200431,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TX**117,USA,,,13,CH33,,,0000012042,,,,NON
,20190228,10,1,  ,,6402820190200432,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,FL**119,USA,,,11,CH33,,,0000085814,,,,NON
,20190228,10,1,  ,,6402820190200433,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IL**119,USA,,,90,CH33,,,0000648028,,,,NON
,20190228,10,1,  ,,6402820190200434,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OK**119,USA,,,03,CH33,,,0000480581,,,,NON
,20190228,10,1,  ,,6402820190200435,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PA**119,USA,,,10,CH33,,,0000116445,,,,NON
,20190228,10,1,  ,,6402820190200436,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**119,USA,,,01,CH33,,,0000039851,,,,NON
,20190228,10,1,  ,,6402820190200437,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,GA**047,USA,,,14,CH33,,,0000094158,,,,NON
,20190228,10,1,  ,,6402820190200438,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IL**047,USA,,,15,CH33,,,0000000733,,,,NON
,20190228,10,1,  ,,6402820190200439,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**047,USA,,,01,CH33,,,0000055032,,,,NON
,20190228,10,1,  ,,6402820190200440,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MT**047,USA,,,00,CH33,,,0000068463,,,,NON
,20190228,10,1,  ,,6402820190200441,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WI**047,USA,,,06,CH33,,,0000024498,,,,NON
,20190228,10,1,  ,,6402820190200442,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AR**049,USA,,,01,CH33,,,0000019909,,,,NON
,20190228,10,1,  ,,6402820190200443,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,ID**049,USA,,,01,CH33,,,0000008404,,,,NON
,20190228,10,1,  ,,6402820190200444,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IL**049,USA,,,15,CH33,,,0000046747,,,,NON
,20190228,10,1,  ,,6402820190200445,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**049,USA,,,90,CH33,,,0000322489,,,,NON
,20190228,10,1,  ,,6402820190200446,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WV**049,USA,,,01,CH33,,,0000132080,,,,NON
,20190228,10,1,  ,,6402820190200447,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WI**049,USA,,,02,CH33,,,0000022294,,,,NON
,20190228,10,1,  ,,6402820190200448,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AK**050,USA,,,00,CH33,,,0000007597,,,,NON
,20190228,10,1,  ,,6402820190200449,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NY**121,USA,,,27,CH33,,,0000071403,,,,NON
,20190228,10,1,  ,,6402820190200450,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IL**123,USA,,,18,CH33,,,0000019299,,,,NON
,20190228,10,1,  ,,6402820190200451,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,LA**123,USA,,,05,CH33,,,0000002778,,,,NON
,20190228,10,1,  ,,6402820190200452,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**123,USA,,,08,CH33,,,0000011408,,,,NON
,20190228,10,1,  ,,6402820190200453,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TX**123,USA,,,34,CH33,,,0000042320,,,,NON
,20190228,10,1,  ,,6402820190200454,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**125,USA,,,07,CH33,,,0000004252,,,,NON
,20190228,10,1,  ,,6402820190200455,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NE**125,USA,,,03,CH33,,,0000002555,,,,NON
,20190228,10,1,  ,,6402820190200456,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NM**051,USA,,,02,CH33,,,0000001194,,,,NON
,20190228,10,1,  ,,6402820190200457,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**051,USA,,,05,CH33,,,0000101280,,,,NON
,20190228,10,1,  ,,6402820190200458,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OR**051,USA,,,90,CH33,,,0002435247,,,,NON
,20190228,10,1,  ,,6402820190200459,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WA**051,USA,,,05,CH33,,,0000023933,,,,NON
,20190228,10,1,  ,,6402820190200460,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AL**053,USA,,,01,CH33,,,0000040211,,,,NON
,20190228,10,1,  ,,6402820190200461,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KS**053,USA,,,01,CH33,,,0000004764,,,,NON
,20190228,10,1,  ,,6402820190200462,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WV**053,USA,,,03,CH33,,,0000025547,,,,NON
,20190228,10,1,  ,,6402820190200463,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AR**055,USA,,,01,CH33,,,0000069156,,,,NON
,20190228,10,1,  ,,6402820190200464,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CA**055,USA,,,05,CH33,,,0000377758,,,,NON
,20190228,10,1,  ,,6402820190200465,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,GA**055,USA,,,14,CH33,,,0000029381,,,,NON
,20190228,10,1,  ,,6402820190200466,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,SD**125,USA,,,00,CH33,,,0000045303,,,,NON
,20190228,10,1,  ,,6402820190200467,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,FL**127,USA,,,06,CH33,,,0004541299,,,,NON
,20190228,10,1,  ,,6402820190200468,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IA**127,USA,,,01,CH33,,,0000042170,,,,NON
,20190228,10,1,  ,,6402820190200469,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**127,USA,,,15,CH33,,,0000068375,,,,NON
,20190228,10,1,  ,,6402820190200470,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TX**127,USA,,,23,CH33,,,0000001245,,,,NON
,20190228,10,1,  ,,6402820190200471,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AR**129,USA,,,90,CH33,,,0000009305,,,,NON
