Scholarship Name,Level of Study,Scholarship Value,Date,Eligibility,Benefits,Application,Descriptions,Link
GWC Injury Lawyers Annual Scholarship,Master Bachelor Phd,$1000,16 July 2020,Qualified applicants must be currently enrolled in a college or university in the United States and must have a minimum GPA of 3.0 in the college or university in which they are enrolled.,$1000.00 to be applied towards a student’s upcoming 2020 Fall Semester tuition bill.IMPORTANT NOTE: One scholarship per winning applicant only.,Please be sure to read the following application requirements – any incomplete application packets will not be processed and applicants with incomplete packets will not be notified and asked to submit missing information.Qualified applicants must be currently enrolled in a college or university in the United States.Qualified applicants must have a minimum GPA of 3.0 in the college or university in which they are enrolled.Qualified applicants must submit a letter of recommendation from either a member of their local community or from a faculty member from the college or university that they are attending.Qualified applicants must provide a 500-to-1000 word essay on the topic chosen by the GWC Injury Lawyers selection committee.All student applicant essays must be in a.PDF format with the file name as lastname_firstname_gwc.pdf.,As one of Illinois’ premier Personal Injury and Workers’ Compensation law firms GWC Injury Lawyers knows how important a great education is to a successful future both for the students themselves and their communities as a whole. Our team of legal professionals is dedicated to helping provide opportunities for students throughout the country.With this in mind we proudly announce the GWC Injury Lawyers Annual Scholarship. This program is aimed at assisting students that are currently enrolled in a college or university in the United States.Students will be chosen based upon their exemplary academic skills their service to their communities and a short essay in response to the following topic: “How Do Personal Injury Attorneys Benefit Society?”,https://www.gwclaw.com/scholarship-college/
Quanthub Diversity in Data Science Scholarship,Bachelor,$1000,1 May 2020,To be eligible for the scholarship participants must:Be of ethnic minority residing in the United StatesEnrolled full or part-time in a relevant undergraduate or graduate degree program in the United States during the 2019-2020 school year – data science business analytics statistics or computer science or computer information systems.Please note that students enrolled in short term boot camps nano-degrees etc. programs are excluded.University certificate programs of 1 year or more in length and online degree programs at a higher education institution are acceptable.Provide 1 letter of recommendation - will be submitted with the application can be from anyone maximum 1-page single-spaced on why you merit this scholarship,To this effect we are offering a $1000 scholarship award to support diversity in the data science field.,Applicants will be asked to answer a series of questions and to demonstrate achievement leadership and initiative in the field of data science. You are also asked to submit 1 letter of reference with your application.The deadline to submit your application is May 1 2020. Award will be announced on June 1 2020. For questions please contact us through our website.,Diversity in tech and data science is sorely lacking as the chart below shows. Diversity data and research show that the tech and data science sector recruitment processes reflects unconscious bias. The bias is a key driver of the lack of diversity in tech including data science data engineering and data analytics fields.,https://info.quanthub.com/diversity-in-tech-scholarship
Quanthub Women in Data Science Scholarship,Bachelor,$1000,1 May 2020,To be eligible for this scholarship applicants must meet the following requirements:Be of a female residing in the United States (non-Citizen OK with visa)Be enrolled full or part-time in a relevant undergraduate or graduate degree program in the United States during the 2019-2020 school year – data science business analytics statistics or computer science or computer information systems.Please note that students enrolled in short term bootcamps nanodegreesetc. programs are excluded.University certificate programs of 1 year or more in length and online degree programs at a higher education institution are acceptable.Provide 1 letter of recommendation to be submitted with application can be from anyone maximum 1 page single spaced on why you merit this scholarship.,The $1000 scholarship award will help the winner fund her education.,Applicants will be asked to answer a series of questions and to demonstrate achievement leadership and initiative in the field of data science. You are also asked to submit 1 letter of reference with your application.Please visit our website in order to apply.,A critical benefit of QuantHub's skill assessment platform is its potential to reduce bias in the recruitment process and therefore increase diversity in tech and analytical teams. We believe that diversity in data science teams is critical to success. We're committed to providing employers with a skill assessment tool that enables unbiased and objective hiring processes.To this effect we are offering a $1000 scholarship award to support women pursuing an education in the data science field.,https://info.quanthub.com/women-data-science-scholarship
Derrick Law Firm,Master Bachelor Phd Course,$1000,20 December 2020,Undergraduate students who have been affected by an auto accident. Students applying must submit an essay where you explain present inspire or otherwise convince us as to why you deserve to win this scholarship.There are no conditions or requirements for this essay. Please keep submissions to 5 paragraphs and 600 words at the absolute maximum. This is not a standardized test. While spelling punctuation and general cohesiveness will make your essay easier to read and therefore judge you are not being graded. The winning submission will be one that clearly conveys a non-fictional story of your life before and after an auto accident.,This is a $1000 scholarship and the winner will be announced on December 20th of each year.,Derrick Law Firm Scholarship Application Form,The Dirk Derrick Car & Truck Accident Injury Scholarship is an award for any current or soon-to-be undergrad in the United States who has had his or her life altered due to an injury from a car or truck accident be it their own injury that of a loved one or an influential individual. The Dirk Derrick Scholarship has a brief submission process and applicants will be judged on their ability to convey the lasting effect an auto accident has had on their life as well as their journey to overcome those challenges.,https://www.derricklawfirm.com/library/scholarship.cfm
The MyUS.com Global Perspectives Scholarship,Master Bachelor,2500,1 May 2020,To apply for the scholarship the applicant must be a student currently enrolled at an officially recognized accredited college or university and must be currently enrolled in or have already been accepted into a study abroad program. Additionally:Eligible students must currently be in good standing with their respective university college or high school. Students who have been suspended are on academic probation or have otherwise violated any university/college rules will be disqualified.Applicant must either be accepted to a qualifying university/college or currently enrolled in an undergraduate/graduate programIf the applicant or the applicant's parent/legal guardian is employed by MyUS.com at the time the scholarship is granted the student will be considered ineligible. Eligibility of finalists will be verified before winners are selected.**Description of Scholarship Funds:**The scholarship recipient will receive a one-time $2500 (USD) educational scholarship to be applied to qualifying expenses including undergraduate/graduate tuition fees books and on-campus room and board for the 2019 or 2020 academic year. Funds are provided by Access Shipping LLC (MyUS.com).Payments issued by MyUS.com are made payable to the student's approved college or university and mailed after June 1 2020 directly to the accredited college or university last designated by the student.Winner Selection and Announcement:The scholarship recipient will be selected by MyUS.com after the May 1 2020 entry deadline. The winner will be announced and notified via email on or before June 1 2020.College/University Approval:The institution must be accredited and recognized by the government in which the university is established. Any students who attend universities/colleges that do not fit the criteria will be disqualified.Recipient Responsibilities:The recipient must be enrolled without interruption barring illness emergency or military service. It is the recipient's responsibility to verify receipt of funds with their designated institution and notify MyUS.com if the award check does not arrive on or about 30 days from the issue date. MyUS.com reserves the right to alter or discontinue this program at any time without notice.,The scholarship recipient will receive a one-time $2500 (USD) educational scholarship to be applied to qualifying expenses including undergraduate/graduate tuition fees books and on-campus room and board for the 2019 or 2020 academic year. Funds are provided by Access Shipping LLC (MyUS.com).Payments issued by MyUS.com are made payable to the student's approved college or university and mailed after June 1 2020 directly to the accredited college or university last designated by the student.,To enter send an email to us (email address is mentioned on the website) with the following information:Your essay (attached as a document or included in the body of the email)A photo of yourself (image must feature you alone without other people)Any additional relevant information you feel will help tell your storyAny submissions not received through this email will be disqualified. If you’re having trouble submitting your essay please contact MyUS.com for assistance.Essays will be reviewed ‒ and the recipient will be selected ‒ based on the student’s ability to communicate their story as it relates to the questions above and to the overarching theme of the scholarship as well as the thoughtfulness of their essay.,MyUS.com is pleased to announce its first annual “Global Perspectives” scholarship – focused on the role of experiential learning in preparing global-ready graduates.As an industry leader in international shipping and shopping few organizations are more reliant on the desire for consumers and businesses to be globally interconnected than MyUS.com. Similarly few global organizations better understand the transformative impactful nature of breaking down boundaries transcending cultures and connecting the previously unconnected.A study conducted by San Diego State University (SDSU) conveys that clear results are emerging on the impact of study abroad and international internships on the career development of international business students during the past decade and a half. The study asserts that “solid evidence now supports the contention that students with an experiential international education compete more successfully than their peers in today’s global workforce.” The study goes on to state that “international educators are now finding themselves equipped with solid empirical data to verify what they have always assumed to be true: learning in an international/intercultural setting not only transforms students’ lives it clearly enhances their career development.”A related study conducted by Rice University goes on to outline many of the characteristics students acquire during the course of an international program that makes them far more marketable to employers from a global business perspective following graduation. The study finds that students who study internationally are much more likely to be able to:Creatively solve problems by applying familiar concepts to unfamiliar situationsContribute to an ethnically diverse teamBe self-confident yet able to listen and learn from people whose value systems are differentTake personal risks and act independentlyBe flexible and adaptable to rapidly changing situationsHave a basic command of the local language and be able use it in practical situationsImagine forecast analyze or address business situations from a different cultural frame of reference.As a global organization MyUS.com has a growing vested interest in preparing tomorrow’s future international business leaders for long-term success. As such we invite all students who meet the criteria listed below to apply for this inaugural scholarship.To qualify for scholarship consideration eligible students must currently be studying abroad have been accepted to a study abroad program or have studied abroad within the past two academic years. Students are required to write a 500-word essay detailing why they chose an international program how they feel that program will enhance their studies (or did enhance their studies) and how they feel that program will likely impact their perspectives relative to other cultures and the impact that will have on future business successes.Additionally the essay should clearly articulate how they believe their experience studying abroad will make them increasingly competitive in today’s global job market.,https://www.myus.com/scholarships/the-global-perspectives-scholarship/
7shifts Culinary scholarship,Bachelor Course,$1000,31 December 2019,Applicants must be a full-time student enrolled in a nationally-recognized educational institution in North America.Applicants must be pursuing any recognized certification (degree diploma etc.) in Culinary services (or related).,The student will be given $1000 towards their education,This scholarship is administered by the 7shifts for the Education team. Apply online by emailing us with the following documents:Your resume and cover letter.Your school and program details.A 1-3-minute video submission introducing yourself and talking about interest in the hospitality and food industry.,The 7shifts Culinary Scholarship program empowers the next generation of restaurant workers to get the education they need to propel the industry forward. The culinary scholarship provides a bursary for post-secondary tuition to students seeking an education in culinary-related programs in North America.Will you help shape the future of the restaurant industry?,https://www.7shifts.com/education
Voy Media Entrepreneur Scholarship,Master Bachelor Course,2500,30 April 2020,Any current college student or incoming freshman enrolled in an undergraduate or graduate degree program. Student must be enrolled at an accredited college university or trade school. No major or trade requirements. All students are welcome.,Voy Media will award one (1) $2500 scholarship to each winner determined by our judges. A total of four (4) scholarships will be awarded for each calendar year. This scholarship is designed to help young entrepreneurs afford the rising cost of education and help them along the road to entrepreneurship.The scholarship will be awarded in check form made payable directly to the university/school that the winners are from.,The applicant should submit a 500-1000 word essay on the below-described topic. Please send the essay before midnight of the scholarship deadline. The email address is mentioned on the website.Since it was created the Internet has both helped and complicated the rise of entrepreneurship. How would you leverage the Internet to develop a business? In addition how would you manage the increased competition and other complexities that an online marketplace produces?,Many young entrepreneurs dream of owning a business running a website or starting a mobile app but have limited funds to start. With the hurdle of student fees and homework many student entrepreneurs have no choice but to forestall their dreams.The Voy Media Entrepreneur Scholarship was created to help students jumpstart their businesses while in school. Voy Media a Facebook advertising agency believes in helping passionate hardworking and talented students achieve their dream of starting their own business.,https://voymedia.com/entrepreneur-scholarship/
10% off Your Entire Tuition at Nexford,Master Bachelor Course,10% off application fee and tuition.,7 December 2025,Must be an incoming student of Nexford University.Must be enrolling in any of the courses certificate programs or degrees (AAS BBA MBA).,10% off application fee.10% off entire tuition fees throughout the duration of your study.One on one mentioning with your Nexford assigned mentor/advisor.Personalized feedback on your work.Access to a global network of learners and professionals.Get your degree at your convenience.,To apply you must:Please choose your programApply to the program and pay your application fee.Use the coupon code VICTORIA10 when making payments for your application and tuition.If you encounter any issues or need further clarification on anything please feel free to email us through the website. We'll be glad to clarify your doubts.,Quality education does not have to break the bank. And what's even better? A discount off your entire tuition which makes it easier to achieve your dreams.Why choose Nexford?We give people everywhere the opportunity to excel. Our degrees are based on the needs of the world's largest employers. Less theory more job skills – 100% online.,https://www.nexford.org/?nc_ef_affid=16&nc_ef_oid=2
International Scholarship Program (Firdaws Academy),Course,100%,29 December 2022,Applicant must be between the ages of 15-30Applicant must be enrolled in a school or a university and actively studying Arabic or Islamic studiesApplicant must submit an original essay on Prophet Mohamed’s character an infographic on Aqidah or Ibadat or a video of applicant’s recitation of the Holy Quran with Tajweed.,The winner will be announced on January 7th 2020 and a check/money transfer will be issued with $250 + 25% discount for studying Arabic and Islamic studies online at Firdaws Academy for 6 months.,You can enter by contributing your original work including:Write a 500-word essay that discusses one of the important traits of prophet Muhammad (PBUH).Design an infographic or drawing that illustrates a key concept in Islam of Aqidah (creed) or Ibadah (e.g. prayer fasting).Record a video of yourself reciting versus from the Quran with proper Tajweed rules.,Firdaws Academy believes in providing scholarship opportunities for deserving students. In recognition of their achievement and as an incentive for all those studying the Arabic language and Islamic studies to excel. This investment also serves to advance the field of Islamic studies while enriching the online education atmosphere with diversity talent and academic excellence.Firdaws Academy is an Islamic online academy for teaching Qur’an Arabic and Islamic studies. Seeks to recognize and reward young students who are seeking knowledge of the Quran and the Arabic language.Students from all over the world are welcome to apply.For any other information please contact the Firdaws Academy Scholarship Committee at our website.,https://firdawsacademy.com/firdaws-academy-international-scholarship-program/
Dubin Graduate Fellowship for International Students at Harvard Kennedy School in USA,Master, $5000,,Award decisions will be primarily merit-based but with a consideration of financial need as determined by the HKS Student Financial Services. Two-year degree program students will receive funding for both academic years as well as support for unpaid summer internships contingent upon the successful completion of year one. Active participation in the cocurricular program is a requirement of all fellows for the duration of their award. This opportunity is open to domestic and international students entering any of Harvard Kennedy School's master's degree programs.,Fellows are eligible for a stipend up to $5000 to support unpaid summer internships or professional development.,Step 1: Apply to Harvard Kennedy School: Application deadline is December 3 2019.Step 2: Apply for the Fellowship: Application deadline for the Dubin Fellowship is February 4 2020.A biographical profile not to exceed 150 words. (This profile should be short concise and in the third person.) Please include the following highlights: an introductory sentence including your name; the degree you are pursuing at Harvard Kennedy School in addition to any joint degree at Harvard or concurrent degree program at another graduate or professional institution; where you are from and where you currently reside; an overview and highlights of your relevant work/professional experience; significant leadership achievements including awards or certifications; and educational credentials with the degrees earned and institutions attended.A document containing written responses to the two following essay prompts. 1. Please discuss a time in your life when you had to lead in the face of adversity. How has that experience/s shaped the person that you are today and influenced the way that you lead? (750 words or less) 2. Please discuss briefly your interest in the Dubin Fellowship and how your leadership goals have motivated you to apply. (200 words or less)As a matter of commitment policy and law Harvard Kennedy School does not discriminate on the basis of gender gender identity color race age sexual orientation religion national or ethnic origin political beliefs intellectual focus disability or veteran status. The School strongly believes diversity enhances the value of all its activities from research and teaching to degree programs and public events. The School encourages applications from candidates who are interested in careers in public service and acknowledges a special responsibility to train effective leaders in public policy and management.,Dubin Fellows are entering master's degree students at Harvard Kennedy School who have demonstrated strong character academic excellence the ability to thrive and lead in the face of adversity and a commitment to making a transformative impact on the communities they serve.,https://cpl.hks.harvard.edu/dubin-fellows-program-emerging-leaders
Firdaws Academy International Scholarship Program,Course,100% tuition fee,9 January 2022,The applicant must be between the ages of 15-30The applicant must be enrolled in a school or a university and actively studying Arabic or Islamic studiesThe applicant must submit an original essay on Prophet Mohamed’s character an infographic on Aqidah or Ibadat or a video of the applicant’s recitation of the Holy Quran with Tajweed.,The winner will be announced on January 7th 2020 and a check/money transfer will be issued with a $250 + 25% discount for studying Arabic and Islamic studies online at Firdaws Academy for 6 months.,You can enter by contributing your original work including:Write a 500-word essay that discusses one of the important traits of Prophet Muhammad (PBUH)Design an infographic or drawing that illustrates a key concept in Islam of Aqidah (creed) or Ibadah (e.g. prayer fasting).Record a video of yourself reciting verses from the Quran with proper Tajweed rules.,Firdaws Academy believes in providing scholarship opportunities for deserving students. In recognition of their achievement and as an incentive for all those studying the Arabic language and Islamic studies to excel. This investment also serves to advance the field of Islamic studies while enriching the online education atmosphere with diversity talent and academic excellence.Firdaws Academy is an Islamic online academy for teaching Qur’an Arabic and Islamic studies. Seeks to recognize and reward young students who are seeking knowledge of the Quran and the Arabic language.Students from all over the world are welcome to apply. To be eligible candidates must be between 15 and 30 years of age.For any other information please contact the Firdaws Academy Scholarship Committee at support@firdawsacademy.com,https://firdawsacademy.com/firdaws-academy-international-scholarship-program/
Keto Scholarship 2020,Master Bachelor,US$3500,15 April 2020,A permanent U.S. resident or citizen.Students currently studying in undergraduate or graduate programs.Students majoring in nutrition dietetics food technology or any food science-related courses will be deemed eligible for the scholarship.Funds provided via scholarship must be consumed only for study purposes such as a project or research focusing on a ketogenic diet.Applicants need a CGPA of 3.5 or higher.,We are offering a Keto $3500 scholarship to students enrolled as undergraduate or graduate programs in nutrition dietetics food technology or food sciences in the U.S. Canada Europe Africa or Asia. Since we believe in giving everyone an equal opportunity and avoid any form of discrimination our decision for the grant of the scholarship is not based on religion race age or special needs.,Application Stage 1 GuidelinesAll applicants under the above-stated eligibility criteria are required to submit a stage 1 keto scholarship application form. Please make sure the information you submit must be authentic and verifiable under stage 2 evaluation.Application Stage 2 Submission GuidelinesWhat You Need To Send us if you pass our first evaluation:A video of around 60-90 seconds will be required when submitting the application. It should clearly explain how the grant will assist the applicant with regards to newer research on the ketogenic diet. NIH or university websites can be brought to use for innovative and interesting content. The video can be made through mobile phones but after ensuring the audio quality. It is also recommended that you do not send us any sensitive content such as a passport or ID.Letter of Acceptance from your university or college.Your existing cumulative GPA along with the university transcript.Amount: $3500Application Deadline: March 30 2020Award Date: April 15 2020The award of the Keto scholarship will be announced to the successful candidate’s university and successful candidates will receive award letters on their registered postal address and confirmation emails. However you are not allowed to share any kind of information with any third party and should keep in mind that currently this is a one-time grant although we may contemplate continuing it.,The value we give to health education and the food we consume can be seen in our commitment to provide you with reliable and well-researched information about the ketogenic diet at shebegan magazine.,https://shebegan.com/keto-scholarship-2020/
Robert M. Helfend Criminal Defense Scholarship,Master Bachelor Phd,$500,15 February 2020,Only those that follow all requirements listed below will be considered. To be eligible for the Robert M. Helfend Law School Scholarship applicants must be currently enrolled in law school or currently enrolled in their undergraduate with the intent to pursue law school post graduation. Only full-time students are eligible to receive the Robert M. Helfend Law School Scholarship. Applicants must be U.S. citizens or permanent residents.Only applications received by February 15 2020 with submitted documents will be reviewed. The winner will be notified by email the following month.,A $500 award,Submit via email to rmh.scholarship@gmail.com with the following requirements.Your email subject line must read: “Your Name – Scholarship Application”1)     Cover Letter (w/Name Email Phone etc)Where are you enrolled?Planned year of graduationUndergraduate degree earned (if applicable)2)     Proof of Enrollment (Choose One)Proof of Law School Enrollment orProof of Undergraduate Studies Enrollment with written explanation/intent of law school post graduation.3)     400-600 Word Essay– Choose one from the following topics below:Representing underserved communities in the criminal justice systemEqual protection under the law in modern day practiceState vs Federal Law: Is marijuana illegal?,Los Angeles criminal defense attorney Robert M. Helfend is offering a $500 scholarship to one undergraduate or law school student in the United States.Robert attended the University of California-Berkeley as an undergraduate and completed his law degree at the Pepperdine University School of Law. He has practiced as a criminal defense attorney exclusively since 1984 representing a range of clients in more than three decades in the courtroom and he values the selflessness hard work and dedication it requires to pursue a career in criminal defense. He would like to reward students pursuing a career in criminal defense.The scholarship is based on an essay which should be no longer than 600 words.,https://www.robertmhelfend.com/law-school-scholarship/
ANNUAL $2000 STUDENT SCHOLARSHIP,Bachelor,$2000,1 October 2020,Undergraduate students enrolled (or to be enrolled) on a full-time basis at an accredited four-year college or university.Undergraduate students majoring in Computer Science Engineering Mathematics or Science (excluding agricultural sciences health and other life sciences) in a B.S. program only.A minimum grade average of 3.0 on a 4.0 scale or equivalentDemonstrated financial need or hardship,Annual $2000 student scholarships for 5 people.,Please include the below list in your application email:SurnameFirst NameAddressTelephoneCountryUniversity NameDepartmentCourse NameRecent TranscriptYearUniversity/Course administrator name and contact infoDate of ApplicationSignaturePlease visit our website for more information.,kizi.com is a family-friendly gaming website that offers free games. Our main goal is to make people happy and we would like to share our happiness. The kizi.com board is committed to awarding $2000 in scholarships to encourage and assist students whose educational opportunities will be expanded by financial assistance. Because when we uplift students to reach their goals we all win.kizi.com Scholarship program will award $2000 one-time scholarships per year for 5 people.Scholarships are currently awarded to deserving students in all countries.,https://kizi.com/scholarship
Optimizemyfirm.com Law Firm Marketing Scholarship,Bachelor Course,$1000,15 May 2020,In order to be eligible to apply for the scholarship applicants must be planning on attending an accredited United States college or university in 2020. This is open to high school seniors who have a 3.0 GPA or higher. To apply please include a short essay and your info as requested below.**The Essay**Please write a 500ish word article telling us how you would market a personal injury law firm. Alternatively YouTube videos or other creations will be accepted as well (there’s really no right or wrong way to do this).Imagine you are a good ethical attorney who helps people when insurers are working against them and you are seeking new leads from injured clients. How would you get them? You could be a solo operation who takes in 5 or 6 good cases each year or you could have a large firm with a team of attorneys and a large advertising budget.Many traditional forms of marketing simply do not work – especially since nobody really wants an attorney. Historically many personal injury law firms relied upon word of mouth advertising or phone book advertising. These days some law firms use branding and repetitive television commercials. Others rely on showing up in Google search results so that when people need a lawyer and have the intention of finding one they’re easily accessible. And yet others find a very specific niche such as motorcycles.,Winner will get 1000$ Scholarship Prize Money,How to Apply:Please include your essay or a link to your creation along with the following information and email it to the mentioned email address on our site.Name (First & last)Email addressPhone numberAddressBirth dateCurrent High SchoolCollege you plan on attendingDegree you are seekingCurrent GPA (cumulative)How did you hear about this scholarship?,Welcome to the OptimizeMyFirm Law Firm Marketing Scholarship. We are proud to be offering the 2019-2020 scholarship to students with creative marketing ideas. The scholarship is not limited to students pursuing marketing degrees.One student will be awarded $1000; (nonrenewable). The scholarship application deadline is May 15 2020. The awarded student will be contacted by us directly around May 22 2020.,https://optimizemyfirm.com/community/scholarship/
Academic Scholarship for Online MBA at University of Essex,Master,£6000,22 July 2020,Academic Scholarships are awarded on a merit basis to students who have an impressive academic background who are starting the Online MBA in the 2019-2020 academic year.The Academic Scholarship cannot be used in combination with our other scholarships.,Receiving the Academic Scholarship allows you to access a prestigious qualification for an affordable price. As the course is 100% online and part-time it's easy to fit studying around your work and family commitments.You're in safe hands with us – we achieved a gold rating in the government's Teaching Excellence Framework (TEF) 2018 for delivering consistently outstanding teaching learning and student outcomes. The qualification you gain is recognised worldwide and awarded by the University of Essex University of the Year 2018 (Times Higher Education Awards).,To be considered for our Academic Scholarship please contact our Admissions Team.,Students starting an online MBA with University of Essex Online in the 2019-2020 academic year may be eligible for an Academic Scholarship towards the cost of their tuition fee.,https://online.essex.ac.uk/utm-landing-pages/online-mba-degree/?utm_source=scholarship%20portal&utm_medium=weblisting
MIT THINK Scholarship Program,Course,$7000 worth of prizes,NaN undefined NaN,Applicant must be a full-time high school student (i.e. attending a public private or home school) at the time of your application must be a US resident during the 2019-2020 academic year.US citizenship is not required; US citizens living outside the country are not eligible,$7000 worth of prizes,Applicants should visit our website register and follow the guidelines.,Rather than requiring students to have completed a research project before applying THINK caters to students who have done extensive research on the background of a potential research project and are looking for additional guidance in the early stages of their project. The program is organized by a group of undergraduates at MIT.,https://think.mit.edu/#guidelines
Thank An Officer 2020 (HS),Course,$1500 (one prize of $1000 and second $500),NaN undefined NaN,Current high-school seniors who have a parent presently serving in law enforcement a retired law enforcement official or a law enforcement official who has passed away.,$1500 (one prize of $1000 and second $500),Operation Thank an Officer independently judges each application and scores according to scoring guidelines. Criteria used for scoring: Academic Achievement Extracurricular and volunteer activities and Quality of Essay.Each application requires an essay submission. We recommend that you review the essay requirement and complete that portion of the application before starting the online application process.All applications are due by March 1 2020. Winners will be announced in May of 2020.If you run into any issues while filling out your application please contact us.Fill out and submit an application located on our website.,Thank An Officer proudly offers scholarships to deserving students.Since the inception of our scholarship program we’ve gifted over $35000 to applicants to pursue their dreams. We’ve been able to capture stories and share excepts from their applications here on our website. You can read more about our previous winners on our blogIn addition to the four scholarships offered directly by Operation Thank an Officer we sponsor an additional scholarship called the State Trooper Joshua Orbeck Memorial Scholarship.,https://thankanofficer.org/scholarships/
New Year’s Resolution Scholarship,Master Bachelor Phd,$1000,31 January 2020,To be eligible applicants must:Be eighteen (18) years of age or older at the time of application.Be legal residents of the fifty (50) United States or the District of Columbia.Be currently have been or will be enrolled (or enroll no later than the fall of 2022) in an accredited post-secondary institution of higher learning (college university or trade school).,$1000 for college expenses or to help pay off student loan debt,Students must apply online at our website.Must submit an essay addressing the scholarship prompt (250 words or less),New year new you – or at least slightly newer you. Setting lofty goals in your New Year’s resolutions can feel inspiring but it’s important to remember that 80% of resolutions fail by the second week in February. Failing at your goals is the worst so maybe your best bet for keeping those resolutions is to make ones that are reasonably attainable within the year. Tell us about your 2020 resolutions and how you plan to keep them for the chance to win a $1000 scholarship for school or student loan payments. **,https://www.moneysolver.org/scholarships
Your Company Formations Business Scholarship,Master Bachelor Phd Course,$1000,28 August 2020,The Your Company Formations Business Scholarship is available to anyone studying for an undergraduate or a postgraduate degree. To enter you need to meet the following standards:A student at a recognized institutionWish to run your own businessShowcase excellence with a letter of recommendation from a tutorShowcase circumstances that make you an apt candidate for our financial support,Our scholarship will provide a successful applicant with a bursary of $1000. This is designed to help students with the costs of university/college.,Applications should be sent to the email address mentioned on our website.Assessments of ApplicationsApplying for our CourseOur scholarship is as simple as possible and to enter you need to do the following:Letter of recommendation from a tutor or a course co-ordinatorNote on your latest exam results/grades from your courseAn essay of 500 words that explains why you are a good candidate for the Your Company Formations Business Scholarship. This should showcase circumstances that may aid your application and also how you will use our funds to assist your venture if effective.,Your Company Formations Business ScholarshipFunding for Undergraduate and Postgraduate StudentsYour Company Formations is a leading company formation agent an office Companies House authorised parter. We are proud at providing businesses with a complete online company formation service and professional registered office address services .As a business that places an onus on supporting new business and entrepreneurship we want to help the next generation of business people. So we have created our scholarship with the aim of funding budding entrepreneurs so they can enhance their education abilities and skills and in turn increase their chances of creating successful businesses.Our scholarship will be available to anyone studying for an undergraduate or a postgraduate degree and aims to provide funding for those hoping to develop their skills and abilities to become future business leaders.What the Your Company Formations Business Scholarship Provides,https://www.yourcompanyformations.co.uk/scholarship-programme/
Women in Business Equal Pay Scholarship,Master Bachelor,51% off tuition fee,30 November 2019,To be eligible for this scholarship you must:Be a woman!Want to study a BBA or an MBA onlineFor degree programs: meet Nexford's degree program admission criteriaFor an MBA scholarship you must not have a prior BBAFor a BBA scholarship you must not have a prior BBA.,51% off tuition fees for the duration of your study,To apply for this scholarship you must:Choose your programApply to the program and pay a $15 application feeAnswer three questions:What challenges do you face being a woman in business?What opportunities do you face being a woman in business?How will a Nexford University degree help you move forward in your career?,Achieve your potential follow your passionTalent knows no race background nationality or gender. All over the world on average girls achieve more than boys at school. Lack of opportunity means fewer end up going to university. We’re changing that.Why choose Nexford? We give people everywhere the opportunity to excel. Our degrees are based on the needs of the world's largest employers. Less theory more job skills – 100% online.This scholarship is available for our BBA or MBA degrees and applications are open to women from any country. Earn a place and get 51% off your entire degree – pay tuition with monthly installments.,https://scholarships.nexford.org/women-in-business-scholarships/
Dianne Woest International Fellowship in the Arts and Humanities,Phd Master Bachelor,$4000,31 January 2020,To be eligible applicants are required to meet the following criteria:The Fellowship is open to doctoral candidates academic and museum professionals and independent scholars.Fellows will be expected to acknowledge THNOC in any published work drawing on fellowship research.Applicants are considered without regard to race color religion national origin gender age disability or any other protected status.,The fellowship includes a stipend of $4000. Fellows may select their period(s) of residence but all research must commence and conclude during the specified fellowship term.,Applicants are encouraged to familiarize themselves with THNOC’s resources by visiting the Research Research page and browsing our holdings via our online public access catalog. Fellowship applications may be downloaded from the website. For more information consult our FAQ or contact Jason Wiese at (504) 598-7183.The Historic New Orleans Collection gratefully acknowledges the generosity of Dianne Audrey Woest (1935–2003) a graduate of Southeastern Louisiana University former president of the New Orleans Council for International Visitors and true friend of the arts. Through a planned giving arrangement Woest designated The Collection as a beneficiary of her estate.,The Dianne Woest Fellowship in the Arts and Humanities supports scholarly research on the history and culture of Louisiana and the Gulf South. While THNOC resources should play a central role in the proposed research agenda fellows are also encouraged to explore other research facilities in the Greater New Orleans area.The Woest Fellowship is open to doctoral candidates academic and museum professionals and independent scholars. U.S. citizenship is not required but applicants should be fluent in English. Fellows will be expected to acknowledge THNOC in any published work drawing on fellowship research. Applicants are considered without regard to race color religion national origin gender age disability or any other protected status.,https://www.hnoc.org/research/prizes-and-fellowships
MI College Takamine Acoustic Guitar funding for US or Non-US Students,Bachelor,$1500.00 ,27 February 2020,Available to international students and U.S. citizens.May only be applied to the Associate of Arts and Bachelor’s of Music in Performance (Guitar) Program. Certificate MI Select MM or other programs are not eligible.Newly enrolling and currently enrolled/returning students in any MI program are eligible. Previous scholarship winners are not eligible.,Award is $1500.00 tuition credit applied to the first quarter of the program and a new Takamine guitar.,YouTube video URL: YouTube video of you performing three(3) songs in any genre on the acoustic guitar.It is required that this include two (2) live ensemble (band or duo) performances and one (1) unaccompanied solo performance.No play-along tracks will be accepted.,The Takamine Acoustic Guitar Scholarship will be awarded in Spring 2020 to an intermediate or advanced student (U.S. or non-U.S. citizens) enrolling in the Associate of Arts in Performance (Guitar) program or Bachelor’s of Music in Performance (Guitar) program who demonstrates overall outstanding musicianship and performance on the acoustic guitar in any genre.,https://scholarships.mi.edu/scholarships/takamine-acoustic-guitar-scholarship/
