Rank,University,Location,Description,Link
46,Virginia Polytechnic Institute and State University,Blacksburg,Established in 1872 Virginia Polytechnic Institute and State University is a non-profit public higher education institution located in the urban setting of the medium-sized town of Blacksburg (population range of 10000-49999 inhabitants) Virginia.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Virginia Polytechnic Institute and State University (Virginia Tech) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. Virginia Polytechnic Institute and State University (Virginia Tech) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 148 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6808.htm
47,Florida State University,Tallahassee ...,Founded in 1851 Florida State University is a non-profit public higher education institution located in the urban setting of the large town of Tallahassee (population range of 50000-249999 inhabitants) Florida. This institution has also branch campuses in the following location(s): Panama City. Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Florida State University (FSU) is a very large (uniRank enrollment range: 40000-44999 students) coeducational higher education institution. Florida State University (FSU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 169 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 30-40% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/5273.htm
48,Indiana University Bloomington,Bloomington,Established in 1820 Indiana University Bloomington is a non-profit public higher education institution located in the urban setting of the large town of Bloomington (population range of 50000-249999 inhabitants) Indiana.  Officially accredited and/or recognized by the Higher Learning Commission Indiana University Bloomington (IUB) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. Indiana University Bloomington (IUB) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 200 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/5500.htm
49,Iowa State University of Science and Technology,Ames,Established in 1858 Iowa State University of Science and Technology is a non-profit public higher education institution located in the urban setting of the medium-sized town of Ames (population range of 10000-49999 inhabitants) Iowa.  Officially accredited and/or recognized by the Higher Learning Commission Iowa State University of Science and Technology (ISU) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. Iowa State University of Science and Technology (ISU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 162 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.,/reviews/5542.htm
50,University of California Santa Barbara,Santa Barbara ...,Founded in 1921 University of California Santa Barbara is a non-profit public higher education institution located in the suburban setting of the large town of Santa Barbara (population range of 50000-249999 inhabitants) California. This institution has also branch campuses in the following location(s): Berkeley Davis Irvine Los Angeles Merced Riverside San Diego San Francisco Santa Cruz. Officially accredited and/or recognized by the WASC Senior College and University Commission University of California Santa Barbara (UCSB) is a large (uniRank enrollment range: 20000-24999 students) coeducational higher education institution. University of California Santa Barbara (UCSB) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 99 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 30-40% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/5153.htm
51,University of Massachusetts Amherst,Amherst,Founded in 1863 University of Massachusetts Amherst is a non-profit public higher education institution located in the suburban setting of the medium-sized town of Amherst (population range of 10000-49999 inhabitants) Massachusetts.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges University of Massachusetts Amherst (UMass Amherst) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. University of Massachusetts Amherst (UMass Amherst) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 156 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/5755.htm
52,Oregon State University,Corvallis ...,Established in 1868 Oregon State University is a non-profit public higher education institution located in the urban setting of the large town of Corvallis (population range of 50000-249999 inhabitants) Oregon. This institution has also branch campuses in the following location(s): Bend Newport Portland. Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities Oregon State University (OSU) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. Oregon State University (OSU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 152 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6394.htm
53,University of Houston,Houston,Established in 1927 University of Houston is a non-profit public higher education institution located in the urban setting of the large city of Houston (population range of 1000000-5000000 inhabitants) Texas.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges University of Houston (UH) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Houston (UH) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 93 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6704.htm
54,George Mason University,Fairfax,Established in 1957 George Mason University is a non-profit public higher education institution located in the suburban setting of the medium-sized town of Fairfax (population range of 10000-49999 inhabitants) Virginia.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges George Mason University (GMU) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. George Mason University (GMU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 63 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6776.htm
55,Georgetown University,Washington,Founded in 1789 Georgetown University is a non-profit private higher education institution located in the urban setting of the medium-sized city of Washington (population range of 500000-1000000 inhabitants) District of Columbia.  Officially accredited and/or recognized by the Middle States Commission on Higher Education Georgetown University (GU) is a large (uniRank enrollment range: 20000-24999 students) coeducational higher education institution formally affiliated with the Christian-Catholic religion. Georgetown University (GU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 231 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/5243.htm
56,Colorado State University,Fort Collins,Founded in 1870 Colorado State University is a non-profit public higher education institution located in the urban setting of the large town of Fort Collins (population range of 50000-249999 inhabitants) Colorado.  Officially accredited and/or recognized by the Higher Learning Commission Colorado State University (CSU) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. Colorado State University (CSU) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 150 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/5177.htm
57,California Institute of Technology,Pasadena,Established in 1891 California Institute of Technology is a non-profit private higher education institution located in the urban setting of the large town of Pasadena (population range of 50000-249999 inhabitants) California.  Officially accredited and/or recognized by the WASC Senior College and University Commission California Institute of Technology (Caltech) is a small (uniRank enrollment range: 2000-2999 students) coeducational higher education institution. California Institute of Technology (Caltech) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 129 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/5020.htm
58,Brigham Young University,Provo,Established in 1875 Brigham Young University is a non-profit private higher education institution located in the urban setting of the large town of Provo (population range of 50000-249999 inhabitants) Utah.  Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities Brigham Young University (BYU) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution formally affiliated with the Christian-Restorationist religion. Brigham Young University (BYU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 144 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/6732.htm
59,Georgia State University,Atlanta,Founded in 1913 Georgia State University is a non-profit public higher education institution located in the urban setting of the small city of Atlanta (population range of 250000-499999 inhabitants) Georgia.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Georgia State University (GSU) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. Georgia State University (GSU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 107 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/5333.htm
60,University of Nebraska-Lincoln,Lincoln,Founded in 1869 University of Nebraska-Lincoln is a non-profit public higher education institution located in the urban setting of the small city of Lincoln (population range of 250000-499999 inhabitants) Nebraska.  Officially accredited and/or recognized by the Higher Learning Commission University of Nebraska-Lincoln (UNL) is a large (uniRank enrollment range: 25000-29999 students) coeducational higher education institution. University of Nebraska-Lincoln (UNL) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 151 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/5973.htm
61,University of South Florida,Tampa ...,Founded in 1956 University of South Florida is a non-profit public higher education institution located in the urban setting of the small city of Tampa (population range of 250000-499999 inhabitants) Florida. This institution has also branch campuses in the following location(s): St. Petersburg Sarasota Lakeland. Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges University of South Florida (USF) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of South Florida (USF) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 64 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/5301.htm
62,Brown University,Providence,Established in 1764 Brown University is a non-profit private higher education institution located in the urban setting of the large town of Providence (population range of 50000-249999 inhabitants) Rhode Island.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Brown University (BU) is a medium-sized (uniRank enrollment range: 9000-9999 students) coeducational higher education institution. Brown University (BU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 256 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/6524.htm
63,University of Georgia,Athens,Established in 1785 University of Georgia is a non-profit public higher education institution located in the urban setting of the large town of Athens (population range of 50000-249999 inhabitants) Georgia.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges University of Georgia (UGA) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. University of Georgia (UGA) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 235 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/5358.htm
64,Tufts University,Medford,Established in 1852 Tufts University is a non-profit private higher education institution located in the suburban setting of the large town of Medford (population range of 50000-249999 inhabitants) Massachusetts.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Tufts University (TU) is a large (uniRank enrollment range: 10000-14999 students) coeducational higher education institution. Tufts University (TU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 168 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/5752.htm
65,University of Iowa,Iowa City ...,Founded in 1847 University of Iowa is a non-profit public higher education institution located in the urban setting of the large town of Iowa City (population range of 50000-249999 inhabitants) Iowa. This institution has also branch campuses in the following location(s): Cedar Rapids. Officially accredited and/or recognized by the Higher Learning Commission University of Iowa (UI) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. University of Iowa (UI) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 173 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/5557.htm
66,University of Delaware,Newark,Founded in 1743 University of Delaware is a non-profit public private partnership higher education institution located in the suburban setting of the medium-sized town of Newark (population range of 10000-49999 inhabitants) Delaware.  Officially accredited and/or recognized by the Middle States Commission on Higher Education University of Delaware (UD) is a large (uniRank enrollment range: 20000-24999 students) coeducational higher education institution. University of Delaware (UD) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 277 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/5237.htm
67,University of Oregon,Eugene ...,Established in 1876 University of Oregon is a non-profit public higher education institution located in the urban setting of the large town of Eugene (population range of 50000-249999 inhabitants) Oregon. This institution has also branch campuses in the following location(s): Portland. Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities University of Oregon (UO) is a large (uniRank enrollment range: 25000-29999 students) coeducational higher education institution. University of Oregon (UO) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 144 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6402.htm
68,George Washington University,Washington ...,Established in 1821 George Washington University is a non-profit private higher education institution located in the urban setting of the medium-sized city of Washington (population range of 500000-1000000 inhabitants) District of Columbia. This institution has also branch campuses in the following location(s): Mount Vernon Ashburn. Officially accredited and/or recognized by the Middle States Commission on Higher Education George Washington University (GWU) is a large (uniRank enrollment range: 25000-29999 students) coeducational higher education institution. George Washington University (GWU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 199 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/5242.htm
69,Dartmouth College,Hanover,Founded in 1769 Dartmouth College is a non-profit private higher education institution located in the rural setting of the medium-sized town of Hanover (population range of 10000-49999 inhabitants) New Hampshire.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Dartmouth College (DC) is a medium-sized (uniRank enrollment range: 6000-6999 students) coeducational higher education institution. Dartmouth College (DC) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 250 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/5987.htm
70,Washington State University,Pullman,Founded in 1890 Washington State University is a non-profit public higher education institution located in the rural setting of the medium-sized town of Pullman (population range of 10000-49999 inhabitants) Washington.  Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities Washington State University (WSU) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. Washington State University (WSU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 130 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/6837.htm
71,University of Rochester,Rochester,Founded in 1850 University of Rochester is a non-profit private higher education institution located in the urban setting of the large town of Rochester (population range of 50000-249999 inhabitants) New York.  Officially accredited and/or recognized by the Middle States Commission on Higher Education University of Rochester (UR) is a large (uniRank enrollment range: 10000-14999 students) coeducational higher education institution. University of Rochester (UR) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 170 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 30-40% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/6191.htm
72,University of Notre Dame,Notre Dame,Established in 1844 University of Notre Dame is a non-profit private higher education institution located in the suburban setting of the large town of Notre Dame (population range of 50000-249999 inhabitants) Indiana.  Officially accredited and/or recognized by the Higher Learning Commission University of Notre Dame (ND) is a large (uniRank enrollment range: 10000-14999 students) coeducational higher education institution formally affiliated with the Christian-Catholic religion. University of Notre Dame (ND) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 176 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 20-30% making this US higher education organization a very selective institution. International applicants are eligible to apply for enrollment.,/reviews/5524.htm
73,Vanderbilt University,Nashville,Established in 1873 Vanderbilt University is a non-profit private higher education institution located in the urban setting of the medium-sized city of Nashville (population range of 500000-1000000 inhabitants) Tennessee.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Vanderbilt University  is a large (uniRank enrollment range: 10000-14999 students) coeducational higher education institution. Vanderbilt University offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 147 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/6636.htm
74,University of California Santa Cruz,Santa Cruz ...,Established in 1965 University of California Santa Cruz is a non-profit public higher education institution located in the urban setting of the large town of Santa Cruz (population range of 50000-249999 inhabitants) California. This institution has also branch campuses in the following location(s): Berkeley Davis Irvine Los Angeles Merced Riverside San Diego San Francisco Santa Barbara. Officially accredited and/or recognized by the WASC Senior College and University Commission University of California Santa Cruz (UCSC) is a large (uniRank enrollment range: 15000-19999 students) coeducational higher education institution. University of California Santa Cruz (UCSC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 55 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/5154.htm
75,University at Buffalo State University of New York,Buffalo ...,Founded in 1846 University at Buffalo State University of New York is a non-profit public higher education institution located in the suburban setting of the small city of Buffalo (population range of 250000-499999 inhabitants) New York. This institution has also branch campuses in the following location(s): Amherst. Officially accredited and/or recognized by the Middle States Commission on Higher Education University at Buffalo State University of New York (UB) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. University at Buffalo State University of New York (UB) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 173 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/6177.htm
76,University of Illinois at Chicago,Chicago ...,Established in 1858 University of Illinois at Chicago is a non-profit public higher education institution located in the urban setting of the large city of Chicago (population range of 1000000-5000000 inhabitants) Illinois. This institution has also branch campuses in the following location(s): Urbana-Champaign Springfield. Officially accredited and/or recognized by the Higher Learning Commission University of Illinois at Chicago (UIC) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. University of Illinois at Chicago (UIC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 162 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/5472.htm
77,Rice University,Houston,Established in 1891 Rice University is a non-profit private higher education institution located in the urban setting of the large city of Houston (population range of 1000000-5000000 inhabitants) Texas.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Rice University  is a medium-sized (uniRank enrollment range: 7000-7999 students) coeducational higher education institution. Rice University offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 129 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/6668.htm
78,Temple University,Philadelphia ...,Founded in 1884 Temple University is a non-profit public higher education institution located in the urban setting of the large city of Philadelphia (population range of 1000000-5000000 inhabitants) Pennsylvania. This institution has also branch campuses in the following location(s): Tokyo. Officially accredited and/or recognized by the Middle States Commission on Higher Education Temple University  is a very large (uniRank enrollment range: 40000-44999 students) coeducational higher education institution. Temple University offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 136 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/6499.htm
79,Syracuse University,Syracuse,Founded in 1870 Syracuse University is a non-profit private higher education institution located in the urban setting of the large town of Syracuse (population range of 50000-249999 inhabitants) New York.  Officially accredited and/or recognized by the Middle States Commission on Higher Education Syracuse University  is a large (uniRank enrollment range: 20000-24999 students) coeducational higher education institution formally affiliated with the Christian-Protestant religion. Syracuse University offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 150 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/6181.htm
80,University of Central Florida,Orlando ...,Established in 1963 University of Central Florida is a non-profit public higher education institution located in the suburban setting of the large town of Orlando (population range of 50000-249999 inhabitants) Florida. This institution has also branch campuses in the following location(s): Daytona Cocoa. Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges University of Central Florida (UCF) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Central Florida (UCF) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 56 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/5296.htm
81,University of California San Francisco,San Francisco ...,Established in 1864 University of California San Francisco is a non-profit public higher education institution located in the urban setting of the medium-sized city of San Francisco (population range of 500000-1000000 inhabitants) California. This institution has also branch campuses in the following location(s): Berkeley Davis Irvine Los Angeles Merced Riverside San Diego Santa Barbara Santa Cruz. Officially accredited and/or recognized by the WASC Senior College and University Commission University of California San Francisco (UCSF) is a small (uniRank enrollment range: 3000-3999 students) coeducational higher education institution. University of California San Francisco (UCSF) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 156 years old higher-education institution has a selective admission policy based on entrance examinations. International applicants are eligible to apply for enrollment.,/reviews/5152.htm
82,University of Kentucky,Lexington,Established in 1865 University of Kentucky is a non-profit public higher education institution located in the urban setting of the small city of Lexington (population range of 250000-499999 inhabitants) Kentucky.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges University of Kentucky (UK) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. University of Kentucky (UK) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 155 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/5612.htm
83,Emory University,Atlanta,Founded in 1836 Emory University is a non-profit private higher education institution located in the suburban setting of the small city of Atlanta (population range of 250000-499999 inhabitants) Georgia.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Emory University  is a large (uniRank enrollment range: 15000-19999 students) coeducational higher education institution formally affiliated with the Christian-Methodist religion. Emory University offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 184 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/5325.htm
